"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","54100","B","","","0"
"2003","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","54900","B","","","0"
"2004","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","57700","B","","","0"
"2005","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","58400","B","","","0"
"2006","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","60500","B","","","0"
"2007","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","65700","B","","","0"
"2008","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","63600","B","","","0"
"2009","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","65000","B","","","0"
"2010","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","65700","C","","","0"
"2011","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","69100","B","","","0"
"2012","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","73200","C","","","0"
"2013","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","70200","B","","","0"
"2014","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","78300","C","","","0"
